Name,station,count
ChengDuDong,0,146
ChongQingXi,1,64
ShaPingBa,2,46
ChongQingBei,3,44
GuiYangBei,4,39
LiuPanShui,5,30
EMeiShan,6,28
XiAnBei,7,24
MianYang,8,22
LuZhou,9,21
WanZhouBei,10,20
KunMingNan,11,18
DeYang,12,18
NanNingDong,13,15
JiangYou,14,14
YiBinXi,15,11
MeiShanDong,16,11
ZunYi,17,10
GuangZhouNan,18,10
WuShan,19,10
GuangYuan,20,9
LeShan,21,9
ChengDuNan,22,8
NeiJiangBei,23,8
YongChuanDong,24,8
DaLi,25,8
YiBin,26,7
TongRen,27,6
BaiSe,28,6
TianFuJiChang,29,6
XingWen,30,4
ShuangLiuJiChang,31,4
LiBo,32,4
ZiYangBei,33,4
HanKou,34,4
BiJie,35,4
BeiHai,36,4
BaZhongDong,37,4
YinHua,38,2
NanChangXi,39,2
TongNan,40,2
FuLingBei,41,2
JiangBeiJiChang,42,2
QiJiangDong,43,2
YunYang,44,2
NanChongBei,45,2
